var_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
h01_01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h01_02,1.183,1.4140000000000001,1.158,1.16,1.166,1.308,1.213,1.111,1.2790000000000001,1.187,1.2109999999999999,1.248,1.401,1.212,1.298,1.136,1.166,1.1420000000000001,1.2670000000000001,1.466,1.176,1.317,1.13,1.455,1.36,1.111,1.3419999999999999,1.214,1.504,1.246
h01_03,1.335,1.777,1.5030000000000001,1.6159999999999999,1.409,1.534,1.5619999999999998,1.335,1.766,1.3769999999999998,1.558,1.534,1.8719999999999999,1.425,1.73,1.19,1.2770000000000001,1.5630000000000002,1.492,1.91,1.278,1.716,1.23,1.859,1.7730000000000001,1.4680000000000002,1.746,1.382,2.025,1.597
h01_04,1.7730000000000001,1.909,1.8219999999999998,2.178,1.6780000000000002,1.578,1.953,1.896,2.1319999999999997,1.6230000000000002,1.9040000000000001,1.818,2.113,1.76,2.023,1.609,1.5090000000000001,1.982,1.939,1.999,1.814,2.084,1.4909999999999999,2.092,2.017,1.989,2.209,1.4980000000000002,2.181,1.8719999999999999
h01_05,2.242,2.041,1.983,2.379,1.794,1.619,2.266,2.385,2.228,1.902,2.255,2.119,2.239,2.173,2.425,2.085,1.85,2.036,2.36,2.208,2.3680000000000003,2.358,1.91,2.344,2.256,2.246,2.524,1.587,2.464,1.9769999999999999
h01_06,2.45,2.6010000000000004,2.214,2.426,1.8840000000000001,1.6869999999999998,2.475,2.552,2.289,2.097,2.506,2.485,2.4459999999999997,2.44,2.779,2.184,2.099,2.955,2.419,2.452,2.498,2.5810000000000004,2.177,2.4930000000000003,2.416,2.434,2.571,1.679,2.7510000000000003,2.064
h01_07,2.6319999999999997,3.242,2.344,3.048,2.08,1.7690000000000001,2.9360000000000004,2.614,2.33,2.371,2.6660000000000004,2.8680000000000003,2.655,2.615,2.813,2.54,2.3,4.002,2.4619999999999997,2.51,2.596,2.753,2.314,2.633,2.5380000000000003,2.665,2.861,1.8030000000000002,3.0260000000000002,2.285
h01_08,2.79,3.784,2.499,3.7910000000000004,2.4,2.61,3.485,2.7769999999999997,2.417,2.6069999999999998,2.862,3.115,2.7460000000000004,2.9419999999999997,2.948,3.872,3.287,4.239,2.74,2.588,2.62,2.866,2.556,2.7239999999999998,2.79,2.8080000000000003,3.2030000000000003,2.173,3.3760000000000003,2.52
h01_09,2.966,4.221,2.9210000000000003,4.0680000000000005,2.654,3.469,3.6860000000000004,3.1310000000000002,2.8369999999999997,2.71,3.0460000000000003,3.655,2.978,3.2060000000000004,3.2760000000000002,5.164,4.247,4.461,3.033,2.6839999999999997,2.728,3.071,3.103,3.1060000000000003,3.1630000000000003,2.8930000000000002,3.3760000000000003,2.69,3.763,2.9389999999999996
h01_10,3.091,4.295,3.485,4.232,2.7289999999999996,3.755,3.7710000000000004,3.695,3.373,2.875,4.027,4.25,3.9610000000000003,3.3139999999999996,3.511,5.569,4.593,4.711,3.145,2.734,3.07,3.2489999999999997,3.597,3.497,3.415,3.0260000000000002,3.799,2.99,4.35,3.306
