obsnme,obsval,weight,obgnme,extra,gage-1,headwater,tailwater,trgw-0-13-10,trgw-0-15-16,trgw-0-2-15,trgw-0-2-9,trgw-0-21-10,trgw-0-22-15,trgw-0-24-4,trgw-0-26-6,trgw-0-29-15,trgw-0-3-8,trgw-0-33-7,trgw-0-34-10,trgw-0-9-1
gage-1:3652.5,2943.23871,0.003,gage-1,,3652.5,,,,,,,,,,,,,,,
gage-1:3683.5,2815.377509,0.003,gage-1,,3683.5,,,,,,,,,,,,,,,
gage-1:3712.5,2749.121657,0.003,gage-1,,3712.5,,,,,,,,,,,,,,,
gage-1:3743.5,2816.79764,0.003,gage-1,,3743.5,,,,,,,,,,,,,,,
gage-1:3773.5,2892.313705,0.003,gage-1,,3773.5,,,,,,,,,,,,,,,
gage-1:3804.5,3023.247777,0.003,gage-1,,3804.5,,,,,,,,,,,,,,,
gage-1:3834.5,3034.117844,0.003,gage-1,,3834.5,,,,,,,,,,,,,,,
gage-1:3865.5,2982.127396,0.003,gage-1,,3865.5,,,,,,,,,,,,,,,
gage-1:3896.5,2910.845976,0.003,gage-1,,3896.5,,,,,,,,,,,,,,,
gage-1:3926.5,2648.800568,0.003,gage-1,,3926.5,,,,,,,,,,,,,,,
gage-1:3957.5,2428.73249,0.003,gage-1,,3957.5,,,,,,,,,,,,,,,
gage-1:3987.5,2204.183331,0,gage-1,,3987.5,,,,,,,,,,,,,,,
gage-1:4018.5,2006.665629,0,gage-1,,4018.5,,,,,,,,,,,,,,,
gage-1:4049.5,2077.445782,0,gage-1,,4049.5,,,,,,,,,,,,,,,
gage-1:4077.5,2136.335424,0,gage-1,,4077.5,,,,,,,,,,,,,,,
gage-1:4108.5,2302.399131,0,gage-1,,4108.5,,,,,,,,,,,,,,,
gage-1:4138.5,2504.028062,0,gage-1,,4138.5,,,,,,,,,,,,,,,
gage-1:4169.5,2714.290604,0,gage-1,,4169.5,,,,,,,,,,,,,,,
gage-1:4199.5,2729.008835,0,gage-1,,4199.5,,,,,,,,,,,,,,,
gage-1:4230.5,2763.701675,0,gage-1,,4230.5,,,,,,,,,,,,,,,
gage-1:4261.5,2553.338914,0,gage-1,,4261.5,,,,,,,,,,,,,,,
gage-1:4291.5,2319.100359,0,gage-1,,4291.5,,,,,,,,,,,,,,,
gage-1:4322.5,2032.230756,0,gage-1,,4322.5,,,,,,,,,,,,,,,
gage-1:4352.5,1866.93845,0,gage-1,,4352.5,,,,,,,,,,,,,,,
gage-1:4383.5,1627.580491,0,gage-1,,4383.5,,,,,,,,,,,,,,,
headwater:3652.5,-1271.609373,0,headwater,,,3652.5,,,,,,,,,,,,,,
headwater:3683.5,-1188.261301,0,headwater,,,3683.5,,,,,,,,,,,,,,
headwater:3712.5,-1278.176409,0,headwater,,,3712.5,,,,,,,,,,,,,,
headwater:3743.5,-1442.004051,0,headwater,,,3743.5,,,,,,,,,,,,,,
headwater:3773.5,-1576.905331,0,headwater,,,3773.5,,,,,,,,,,,,,,
headwater:3804.5,-1618.962623,0,headwater,,,3804.5,,,,,,,,,,,,,,
headwater:3834.5,-1620.040993,0,headwater,,,3834.5,,,,,,,,,,,,,,
headwater:3865.5,-1311.921746,0,headwater,,,3865.5,,,,,,,,,,,,,,
headwater:3896.5,-1013.654635,0,headwater,,,3896.5,,,,,,,,,,,,,,
headwater:3926.5,-714.1293712,0,headwater,,,3926.5,,,,,,,,,,,,,,
headwater:3957.5,-470.5878334,0,headwater,,,3957.5,,,,,,,,,,,,,,
headwater:3987.5,-348.1772495,0,headwater,,,3987.5,,,,,,,,,,,,,,
headwater:4018.5,-369.4084007,0,headwater,,,4018.5,,,,,,,,,,,,,,
headwater:4049.5,-516.7420196,0,headwater,,,4049.5,,,,,,,,,,,,,,
headwater:4077.5,-734.9309322,0,headwater,,,4077.5,,,,,,,,,,,,,,
headwater:4108.5,-994.1384674,0,headwater,,,4108.5,,,,,,,,,,,,,,
headwater:4138.5,-1192.723089,0,headwater,,,4138.5,,,,,,,,,,,,,,
headwater:4169.5,-1280.349228,0,headwater,,,4169.5,,,,,,,,,,,,,,
headwater:4199.5,-1281.987954,0,headwater,,,4199.5,,,,,,,,,,,,,,
headwater:4230.5,-1028.957402,0,headwater,,,4230.5,,,,,,,,,,,,,,
headwater:4261.5,-749.9712588,0,headwater,,,4261.5,,,,,,,,,,,,,,
headwater:4291.5,-466.0770964,0,headwater,,,4291.5,,,,,,,,,,,,,,
headwater:4322.5,-236.3273319,0,headwater,,,4322.5,,,,,,,,,,,,,,
headwater:4352.5,-129.8288067,0,headwater,,,4352.5,,,,,,,,,,,,,,
headwater:4383.5,-127.1925057,0,headwater,,,4383.5,,,,,,,,,,,,,,
tailwater:3652.5,-934.7448858,0,tailwater,,,,3652.5,,,,,,,,,,,,,
tailwater:3683.5,-903.5831054,0,tailwater,,,,3683.5,,,,,,,,,,,,,
tailwater:3712.5,-975.062935,0,tailwater,,,,3712.5,,,,,,,,,,,,,
tailwater:3743.5,-1100.483634,0,tailwater,,,,3743.5,,,,,,,,,,,,,
tailwater:3773.5,-1201.101468,0,tailwater,,,,3773.5,,,,,,,,,,,,,
tailwater:3804.5,-1225.229639,0,tailwater,,,,3804.5,,,,,,,,,,,,,
tailwater:3834.5,-1226.68702,0,tailwater,,,,3834.5,,,,,,,,,,,,,
tailwater:3865.5,-962.5430475,0,tailwater,,,,3865.5,,,,,,,,,,,,,
tailwater:3896.5,-720.4638999,0,tailwater,,,,3896.5,,,,,,,,,,,,,
tailwater:3926.5,-482.6272545,0,tailwater,,,,3926.5,,,,,,,,,,,,,
tailwater:3957.5,-294.0310783,0,tailwater,,,,3957.5,,,,,,,,,,,,,
tailwater:3987.5,-192.867309,0,tailwater,,,,3987.5,,,,,,,,,,,,,
tailwater:4018.5,-198.454218,0,tailwater,,,,4018.5,,,,,,,,,,,,,
tailwater:4049.5,-299.749139,0,tailwater,,,,4049.5,,,,,,,,,,,,,
tailwater:4077.5,-459.6813306,0,tailwater,,,,4077.5,,,,,,,,,,,,,
tailwater:4108.5,-650.1545442,0,tailwater,,,,4108.5,,,,,,,,,,,,,
tailwater:4138.5,-793.8198302,0,tailwater,,,,4138.5,,,,,,,,,,,,,
tailwater:4169.5,-848.2665177,0,tailwater,,,,4169.5,,,,,,,,,,,,,
tailwater:4199.5,-851.25145,0,tailwater,,,,4199.5,,,,,,,,,,,,,
tailwater:4230.5,-624.2866274,0,tailwater,,,,4230.5,,,,,,,,,,,,,
tailwater:4261.5,-396.7025613,0,tailwater,,,,4261.5,,,,,,,,,,,,,
